store,city,region,province,size,revenue,units,cost,gross_profit,promo_units,energy_units,regularBars_units,gum_units,bagpegCandy_units,isotonics_units,singleServePotato_units,takeHomePotato_units,kingBars_units,flatWater_units,psd591Ml_units
105,BROCKVILLE,ONTARIO,ON,496,984.7,470.46,590.73,393.97,210.23,72.13,38.63,29.29,13.38,20.69,18.6,7.71,17.87,56.54,39.71
117,BURLINGTON,ONTARIO,ON,875,2629.32,1131.38,1621.58,1007.74,401.46,192.77,75.04,55.85,42.15,87.62,36.44,33.46,47.44,98.42,38.73
122,BURLINGTON,ONTARIO,ON,691,2786.73,1229.46,1709.45,1077.27,450.04,240.48,93.73,64.27,29.85,105.65,47.96,19.9,45.21,130.27,47.31
123,BURLINGTON,ONTARIO,ON,763,2834.49,1257.63,1719.61,1114.88,476.83,194.21,99.44,73.25,54.15,118.19,39.67,22.1,45.33,132.77,39.87
182,DON MILLS,ONTARIO,ON,784,4118.36,1949.5,2485.83,1632.53,664.71,199.73,175.48,145.81,68.06,109.35,85.71,42.33,79.81,204.06,50.29
183,DON MILLS,ONTARIO,ON,NA,374.83,186.54,227.36,147.47,79.23,34.23,17.06,11.71,3.73,9.29,8.48,0,11.88,25.31,2.69
186,NORTH YORK,ONTARIO,ON,966,8195.26,3695.46,5069.99,3125.27,1143.33,419.19,271.58,212.42,153.9,166.37,130.79,136.79,114.5,328.63,112.38
194,NORTH YORK,ONTARIO,ON,710,1981.46,954.29,1172.38,809.08,300.87,135.87,44.12,117.69,19.37,28.46,26.21,16.58,36.54,111.79,34.85
227,ETOBICOKE,ONTARIO,ON,973,4841.67,2185.02,2995.62,1846.06,657.31,248.42,175.35,111.67,81.54,124.23,94.52,73.4,93.77,193.12,70.15
233,ETOBICOKE,ONTARIO,ON,967,5435.45,2473.71,3315.7,2119.76,868.54,319.12,187.06,156.81,73.87,142.29,116.6,46.12,89.67,323.42,73.83
236,ETOBICOKE,ONTARIO,ON,1001,5340.2,2355.35,3528.08,1812.12,735.56,377.44,181.73,150.87,67.4,141.37,88.79,37.12,75.37,267.08,68.37
248,GEORGETOWN,ONTARIO,ON,736,2575.96,1144.69,1603.54,972.43,454.08,228.44,85.85,73.98,34.4,92.94,29.13,18.96,51.9,91.9,39.73
259,GORMLEY,ONTARIO,ON,778,2361.24,1050.83,1372.06,989.18,367.48,150.37,95.79,52.13,29.9,79.02,50.96,13.88,31.75,132.08,29.85
272,GUELPH,ONTARIO,ON,949,2711.2,1138.62,1686.44,1024.76,393.96,222.31,89.27,58.98,39.02,79.23,27.15,29.63,54.44,74.56,41.02
282,HAMILTON,ONTARIO,ON,833,1724.54,759.17,1082.18,642.36,318.44,124.37,58.31,38.6,29.6,63.44,20.46,21.08,29.44,58.73,26.5
291,STONEY CREEK,ONTARIO,ON,952,2821.96,1238.08,1768.16,1053.8,428.08,209.79,93.62,55.5,38.1,71.96,46.04,33.1,50.04,77.23,33.15
333,KANATA,ONTARIO,ON,318,565.3,270.65,345.12,220.18,90.4,54.56,24.27,23.38,3.35,14.48,11.9,1.81,18.71,19.25,13.15
358,KITCHENER,ONTARIO,ON,836,5075.03,2179.21,3118.37,1956.66,790.52,413.02,155.42,136.19,81.56,149.44,61.5,50.12,98.6,196.17,87.65
367,KITCHENER,ONTARIO,ON,496,465.46,202.67,288.3,177.15,68.15,38.25,16.73,10.21,3.38,18.96,4.75,3.19,7.5,16.31,7.38
396,LONDON,ONTARIO,ON,796,2314.78,1024.58,1484.01,830.77,483.96,196.63,102.71,43.69,32.13,73.85,24.08,21.69,49.29,67.56,44.62
398,LONDON,ONTARIO,ON,609,1372.67,625.35,857.48,515.18,287.71,129.6,52.4,40.71,12.58,56.69,19.92,4.9,28.88,69.08,24.46
399,LONDON,ONTARIO,ON,948,3046.68,1365.31,1965.1,1081.58,600.4,156.37,153.9,56.4,65.1,81.92,39.38,67.1,61.69,62.17,49.5
402,LONDON,ONTARIO,ON,656,2368.65,1061.88,1504.9,863.75,494.1,187.92,101.25,52.02,31.69,93.75,30.06,21.98,44.98,82.94,42.5
409,LONDON,ONTARIO,ON,734,3210.86,1437.67,2008.04,1202.82,580.1,231.52,113.79,88.56,61.75,131.85,43.83,30.1,64.75,117.19,54.23
414,LONDON,ONTARIO,ON,542,1821.12,834.17,1157.46,663.66,410.12,184.77,72.52,66.35,16.46,64.02,19.58,13.83,35.35,69.21,37.67
438,UNIONVILLE,ONTARIO,ON,768,1676.88,766.96,1009.17,667.71,283.77,86.62,66.87,56.87,23.79,49.5,22.92,13.33,26.12,92.88,19.08
445,SCARBOROUGH,ONTARIO,ON,501,1372.87,638.5,820.63,552.25,202.38,81,62.83,50.08,10.56,29.71,23.23,11.29,16.58,84.1,17.52
446,MILTON,ONTARIO,ON,789,1956.49,874.04,1184.06,772.44,307.27,139.12,83.56,64.92,26.75,76.62,21.38,13.08,36.48,83.12,28.1
448,MILTON,ONTARIO,ON,969,4430.77,1945.56,2700.45,1730.32,685,326.69,166.12,92.38,58.1,141.12,61.62,39.56,92.44,191.73,74.96
